importer,exporter,wheat_prev,soy_prev,maize_prev,rice_prev,wheat_cur,soy_cur,maize_cur,rice_cur,prev_year,year,norm_prev,norm_cur,theta,scale,m_comp,m_scale,comp_sq,scale_sq,share_comp,share_scale,rank,metric
Indonesia,United States of America,389708.28,2206443.79,33831.89,0.0,938665.01,2236864.1,303690.49,0.0,2015,2016,2240850.583754101,2444766.024915994,0.24736848901662967,2342808.3043350475,579536.950298973,101957.72058094665,335863076761.8343,10395376786.062393,0.02112766698515647,0.00038962138464537283,9,comp
Viet Nam,Argentina,0.0,28326.31,2379475.46,0.0,737846.0,9405.0,4381980.0,0.0,2015,2016,2379644.0583794094,4443675.71883244,0.1670991674509961,3411659.8886059243,570085.527012008,1032015.8302265152,324997508108.5589,1065056673838.1234,0.02044416191420893,0.039918596942342156,10,comp
Spain,Brazil,1.35,1854043.44,281814.07,0.0,0.0,1791676.19,2389236.11,0.25,2016,2017,1875338.9686824142,2986394.6087449514,0.7765173467759579,2430866.788713683,1887610.229137742,555527.8200312686,3563072377145.4385,308611158828.6936,0.19015084068193208,0.003758737873907977,1,comp
South Africa,Argentina,58609.6,761.7,1819762.54,0.0,66905.84,11.71,112.93,0.0,2016,2017,1820706.2825690205,66905.93633164848,1.536912214394682,943806.1094503345,1450547.1376345432,876900.1731186861,2104086998499.7666,768953913615.5815,0.11228902174397863,0.009365494784331562,2,comp
Algeria,Argentina,0.0,0.0,2544443.38,0.0,1557429.5,0.0,3301225.7,0.0,2016,2017,2544443.38,3650161.334764635,0.44081218932719685,3097302.3573823175,1365328.6331659872,552858.9773823177,1864122276542.9028,305653048872.22205,0.09948280037536869,0.00372270949447162,3,comp
Brazil,Argentina,3950036.44,670.93,1436245.06,3968.92,5043367.5,4.38,548441.34,2422.11,2016,2017,4203046.984293098,5073100.581509624,0.24042253960601156,4638073.782901361,1115097.4777652062,435026.798608263,1243442384918.3247,189248315507.35425,0.06635891438758582,0.0023049549270045423,4,comp
"China, mainland",United States of America,862402.46,34171596.19,223031.7,0.02,1555233.43,32853002.75,756634.95,0.02,2016,2017,34183204.462347314,32898495.97110571,0.027541249119281193,33540850.21672651,923756.9114913614,642354.245620802,853326831528.059,412618976867.0697,0.04553957854808029,0.005025503879152715,5,comp
Algeria,United States of America,263742.86,0.0,688569.24,0.0,861121.35,0.0,75710.0,0.0,2016,2017,737351.9474953309,864443.1638493201,1.117309325960802,800897.5556723255,894850.3080919,63545.6081769946,800757073892.1683,4038044318.584123,0.04273408302319889,4.918146892156344e-05,6,comp
Iran (Islamic Republic of),Switzerland,74856.48,97875.6,1373396.92,0.0,21813.2,1057960.0,1904317.47,0.0,2016,2017,1378913.4220605863,2178572.9741832013,0.437937242501023,1778743.1981218937,778977.891302953,399829.7760613075,606806555138.7953,159863849825.23532,0.03238350624900575,0.0019470660402801376,7,comp
Venezuela (Bolivarian Republic of),United States of America,444772.09,89166.07,954286.69,229197.1,472511.12,11754.0,206273.03,490489.22,2016,2017,1081187.8640836563,711711.4252850263,0.8279597391929664,896449.6446843413,742224.2140124746,184738.219399315,550896783866.4358,34128209706.82945,0.029399763881613552,0.00041566544411616644,8,comp
Israel,Switzerland,943616.15,96010.89,674560.06,0.0,804992.0,361953.0,1580610.0,0.83,2016,2017,1163898.9664428001,1810345.2892676825,0.4885419717701391,1487122.1278552413,726521.5766054045,323223.1614124412,527833601273.20264,104473212073.453,0.02816894870451136,0.0012724342843587328,9,comp
Republic of Korea,Ukraine,1298661.45,0.0,92164.25,0.0,896205.57,0.0,643353.14,0.0,2016,2017,1301927.728675507,1103216.9716093405,0.5517645969432721,1202572.3501424238,663536.8480714579,99355.37853308325,440281148748.60504,9871491243.45226,0.023496528195148907,0.00012023009196926394,10,comp
Viet Nam,United States of America,54982.7,769473.0,3625.9,0.0,373631.06,1246579.27,1894449.87,0.0,2017,2018,771443.4147616402,2298369.064213464,0.9806883948827148,1534906.239487552,1505264.7362985113,763462.824725912,2265821926343.8267,582875484738.4685,0.11669331350308333,0.0035634402176969557,1,comp
Viet Nam,Russian Federation,707804.0,0.0,742516.0,0.0,2871628.31,0.0,115702.08,0.0,2017,2018,1025824.7962844338,2873958.2672874327,0.7690579510537716,1949891.5317859333,1499579.58621239,924066.7355014994,2248738935384.9233,853899331660.3981,0.11581351319911401,0.005220358893063588,2,comp
Mexico,United States of America,3410904.0,3944087.22,14682606.49,782403.0,2804731.79,4870766.99,16947848.87,676792.24,2017,2018,15600678.763784043,17868366.476575155,0.06633684911316362,16734522.6201796,1110115.5020356777,1133843.8563955557,1232356427859.9246,1285601890685.9456,0.06346825110649759,0.007859595404450876,3,comp
Argentina,United States of America,1.38,452.69,3137.22,0.0,5.76,1495429.1,3325.95,0.0,2017,2018,3169.7128369775073,1495432.7985915616,1.4252648838936868,749301.2557142696,1067952.7672269922,746131.542877292,1140523113027.79,556712279276.4482,0.058738694174799204,0.003403490072239965,4,comp
Israel,Switzerland,804992.0,361953.0,1580610.0,0.83,289.08,0.0,0.0,0.0,2017,2018,1810345.2892676825,289.08,1.1099993106187198,905317.1846338413,1004901.4508348441,905028.1046338412,1009826925889.9747,819075870177.123,0.05200763955748396,0.00500746381269389,5,comp
"China, mainland",Canada,522930.07,2048425.13,0.0,0.0,1381922.93,1791884.35,0.0,0.0,2017,2018,2114119.526262818,2262865.552399149,0.4069936428838101,2188492.5393309835,890702.5510063571,74373.01306816563,793351034369.232,5531345072.837536,0.04085879825562068,3.3816171732378084e-05,6,comp
Japan,United States of America,3044196.39,2348550.0,12177466.11,0.0,2869041.0,2319237.0,14514679.53,0.0,2017,2018,12770023.477800954,14976187.044119442,0.05726357648285988,13873105.260960199,794423.6241657601,1103081.7831592439,631108894632.6609,1216789420337.777,0.0325030785692812,0.00743890671409059,7,comp
Egypt,United States of America,263704.3,946940.82,297427.76,0.0,0.0,2859934.25,1766438.77,0.0,2017,2018,1026985.9526008036,3361477.3303537504,0.3577874948914965,2194231.641477277,785068.6422158113,1167245.6888764733,616332772990.5775,1362462498200.713,0.03174208558254563,0.008329486808611807,8,comp
Viet Nam,Argentina,828016.0,2382.9,4019490.0,0.0,175592.2,0.0,4934340.97,0.0,2017,2018,4103890.3536240356,4937464.271153906,0.16758859190381997,4520677.312388971,757613.945234813,416786.9587649354,573978890014.2583,173711368996.52396,0.029560795479045002,0.0010619936757696273,9,comp
Japan,Brazil,0.0,520753.0,2286172.0,0.0,0.0,559853.0,797849.0,0.0,2017,2018,2344731.5625872826,974678.6180121118,0.38790543128600763,1659705.0902996971,643808.6188602862,685026.4722875855,414489537718.78925,469261267734.7741,0.021346848579056048,0.0028688536708725166,10,comp
Mexico,United States of America,2804731.79,4870766.99,16947848.87,676792.24,3672709.5,5438121.1,14685321.25,720321.0,2018,2019,17868366.476575155,16100915.462432502,0.10338531789045062,16984640.969503827,1755962.5058873247,883725.5070713265,3083404322082.093,780970771848.4731,0.09562148660455347,0.010647440563407544,1,comp
Republic of Korea,United States of America,1366728.33,693448.06,6744083.72,0.0,1238410.5,1074419.1,2726460.63,0.0,2018,2019,6916030.780896755,3181450.0681128185,0.3286892900136152,5048740.424504787,1659466.9055935165,1867290.3563919682,2753830410760.121,3486773275074.444,0.08540085250834,0.04753726073072063,2,comp
Egypt,United States of America,0.0,2859934.25,1766438.77,0.0,782095.1,2938483.6,317542.8,0.0,2018,2019,3361477.3303537504,3057317.7856979165,0.510895555293516,3209397.558025833,1639666.9475652624,152079.77232791693,2688507698937.985,23128257151.311047,0.08337508677637279,0.0003153213311311598,3,comp
Peru,Argentina,394563.18,0.0,224035.43,0.0,301833.32,14753.7,2759309.44,0.0,2018,2019,453731.1725096671,2775807.9202997866,0.9454412842522745,1614769.5464047268,1526669.7937243476,1161038.3738950598,2330720659070.3423,1348010105656.8848,0.07227951672901532,0.01837822617213029,4,comp
Japan,Brazil,0.0,559853.0,797849.0,0.0,0.0,550638.89,4682172.0,0.0,2018,2019,974678.6180121118,4714439.29060121,0.49480238689428185,2844558.9543066607,1407494.560252438,1869880.336294549,1981040937140.204,3496452472061.0156,0.06143536806937792,0.04766922299913191,5,comp
Viet Nam,United States of America,373631.06,1246579.27,1894449.87,0.0,257224.84,758569.6,73247.94,0.0,2018,2019,2298369.064213464,804336.818174718,0.8781659618710945,1551352.941194091,1362345.3478052604,747016.123019373,1855984846686.636,558033088050.8951,0.057557171106208026,0.007607998085989178,6,comp
Egypt,Ukraine,1554375.14,198010.02,2380360.92,0.0,1767563.01,484369.98,921700.38,0.0,2018,2019,2849808.441515616,2051444.579397066,0.532302325580488,2450626.5104563413,1304474.1906451064,399181.93105927506,1701652914059.2053,159346214084.21182,0.052771081678135996,0.0021724620237066256,7,comp
"China, Taiwan Province of",United States of America,973273.0,2263773.0,3132295.0,0.0,1245290.0,1834360.0,1376455.0,0.0,2018,2019,3985373.319412248,2609645.983792629,0.3754248058813783,3297509.6516024387,1237966.9208448168,687863.6678098096,1532562097105.997,473156425492.76404,0.04752729474677237,0.00645082389665416,8,comp
Mexico,Brazil,0.0,305017.2,145172.36,0.0,0.0,0.0,1823721.86,0.0,2018,2019,337802.46654488717,1823721.86,1.1265747016239254,1080762.1632724437,1217559.3116150813,742959.6967275564,1482450677300.5906,551989110961.5026,0.04597325643160838,0.007525596939690721,9,comp
Republic of Korea,Brazil,0.0,472279.6,764308.42,0.0,0.0,118513.52,3712415.2,0.0,2018,2019,898451.6578308798,3714306.4051870885,0.5215773866767198,2306379.031508984,1202955.1479404399,1407927.3736781045,1447101087956.4055,1982259489552.1248,0.0448770069842868,0.027025326500121426,10,comp
"China, mainland",United States of America,236062.7,17014644.0,317651.35,0.38,1651386.0,25887600.0,4341943.03,0.04,2019,2020,17019246.11800488,26301090.828267213,0.15530431350207288,21660168.473136045,3363917.5950596356,4640922.355131166,11315941586351.803,21538160306356.21,0.38369809644619235,0.41183190713594275,1,comp
"China, mainland",Canada,1663007.2,2265435.06,0.0,0.0,2297107.7,245259.0,0.0,0.0,2019,2020,2810300.510324304,2310163.579160638,0.831197421900777,2560232.044742471,2128058.2750576967,250068.46558183292,4528632022041.54,62534237478.452354,0.15355571368964724,0.001195719314729157,2,comp
Mexico,United States of America,3672709.5,5438121.1,14685321.25,720321.0,2980240.83,3640223.7,14699927.06,651416.98,2019,2020,16100915.462432502,15448147.579628872,0.11508723694288785,15774531.521030687,1815447.2468239118,326383.94140181504,3295848706000.5215,106526477204.98343,0.11175480758864097,0.002036896450011792,3,comp
