importer,exporter,value
Netherlands (Kingdom of the),Estonia,6.9
Netherlands (Kingdom of the),Sri Lanka,6.89
Malta,Ireland,6.88
Germany,Spain,6.76
Botswana,South Africa,6.69
Belize,Mexico,6.46
Seychelles,South Africa,6.41
United Kingdom of Great Britain and Northern Ireland,Sri Lanka,6.36
Germany,Sweden,6.33
Romania,Poland,6.19
United Kingdom of Great Britain and Northern Ireland,Singapore,6.19
Austria,Switzerland,6.1
Mauritius,Malaysia,6.06
United Kingdom of Great Britain and Northern Ireland,Germany,6.03
Latvia,Poland,6.0
Georgia,Kyrgyzstan,6.0
Namibia,"China, mainland",5.84
Jordan,"China, mainland",5.74
Cambodia,India,5.68
Angola,India,5.61
Canada,Russian Federation,5.54
Canada,Austria,5.38
Côte d'Ivoire,"China, mainland",5.31
Tajikistan,Uzbekistan,5.29
United Kingdom of Great Britain and Northern Ireland,Japan,5.19
Estonia,Belgium,5.15
El Salvador,"China, mainland",5.1
Tunisia,Thailand,5.0
United States of America,Brazil,5.0
Germany,Israel,4.99
Finland,Denmark,4.88
Poland,Serbia,4.85
Ireland,India,4.79
Sweden,United States of America,4.77
Switzerland,India,4.67
Philippines,India,4.67
Estonia,Latvia,4.65
Spain,Thailand,4.52
Bahrain,Canada,4.5
Spain,Bulgaria,4.4
Italy,Argentina,4.37
Bolivia (Plurinational State of),Paraguay,4.28
Netherlands (Kingdom of the),Nigeria,4.06
United Kingdom of Great Britain and Northern Ireland,Viet Nam,4.06
Cyprus,Greece,3.88
Canada,Ecuador,3.85
Cyprus,Belgium,3.64
Italy,Japan,3.56
France,Viet Nam,3.5
Switzerland,"China, Taiwan Province of",3.5
Estonia,Lithuania,3.5
Singapore,Australia,3.47
Sweden,United Kingdom of Great Britain and Northern Ireland,3.39
France,Chile,3.39
United States of America,Guatemala,3.3
Lithuania,Netherlands (Kingdom of the),3.27
Switzerland,Denmark,3.24
Bulgaria,Germany,3.2
Norway,Netherlands (Kingdom of the),3.2
Australia,Thailand,3.18
Philippines,Singapore,3.05
Austria,Belgium,3.04
Kuwait,Belgium,3.03
Mauritius,India,3.0
Japan,Myanmar,3.0
Costa Rica,"China, mainland",3.0
Panama,"China, mainland",2.95
Bahamas,United States of America,2.92
Slovenia,Netherlands (Kingdom of the),2.88
Norway,United States of America,2.85
Angola,Zambia,2.82
Switzerland,United States of America,2.82
United States of America,Republic of Korea,2.82
Poland,Spain,2.82
Belgium,Türkiye,2.81
